ARO Accession,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name
3002012,CMY-1,CMY-1,CAA63264.1,X92508.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-1
3001517,OXA-329,OXA-329,AGW16411.1,KF203103.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-329
3001832,ACT-10,ACT-10,AEV91214.1,JN848330.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-10
3001557,OXA-371,OXA-371,BAO09635.1,AB871653.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-371
3003552,fusB,fusB,AAL12234.1,AY047358.1,Target protecting FusB-type protein conferring resistance to Fusidic acid,fusidane antibiotic,antibiotic target protection,fusB
3001980,CTX-M-121,CTX-M-121,AFA51699.1,JN790862.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-121
3002372,VEB-3,VEB-3,AAS48620.1,AY536519.1,VEB beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,VEB-3
3002835,lnuA,lnuA,AAA26652.1,M14039.1,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,lnuA
3001794,OXA-45,OXA-45,CAD58780.1,AJ519683.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-45
3001800,OXA-226,OXA-226,ACM67635.1,FJ617207.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-226
3003163,CTX-M-155,CTX-M-155,AIS67611.1,KM211508.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-155
3002146,DHA-15,DHA-15,AIT76106.1,KM087853.1,DHA beta-lactamase,cephalosporin;cephamycin,antibiotic inactivation,DHA-15
3003109,msrE,msrE,ACB05808.1,EU294228.1,msr-type ABC-F protein,macrolide antibiotic;streptogramin antibiotic,antibiotic target protection,msrE
3002415,OXY-6-3,OXY-6-3,CAI43424.1,AJ871876.1,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation,OXY-6-3
3002804,FosA2,FosA2,ACC85616.1,EU487198.1,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation,FosA2
3002649,APH(3')-Va,APH(3')-Va,AAA26699.1,K00432.1,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,APH(3')-Va
3002528,AAC(3)-Ia,AAC(3)-Ia,AAG15269.1,U12338.3,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ia
3002771,QnrB58,QnrB58,AFR46589.1,JX259319.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB58
3003198,rmtH,rmtH,AGH19769.1,KC544262.1,16S rRNA methyltransferase (G1405),aminoglycoside antibiotic,antibiotic target alteration,rmtH
3002413,OXY-6-1,OXY-6-1,CAI43422.1,AJ871874.1,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation,OXY-6-1
3000504,golS,golS,AAL19308.1,AE006468.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic,antibiotic efflux,golS
3003550,mdtP,mdtP,BAE78082.1,AP009048.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;nucleoside antibiotic,antibiotic efflux,mdtP
3002125,CMY-114,CMY-114,AIT76099.1,KM087846.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-114
3001808,OXA-60,OXA-60,AAQ08905.1,AF525303.2,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-60
3001650,OXA-90,OXA-90,CAJ77809.1,AM231719.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-90
3002380,SME-2,SME-2,AAG29813.1,AF275256.1,SME beta-lactamase,carbapenem,antibiotic inactivation,SME-2
3002538,AAC(3)-IIIc,AAC(3)-IIIc,AAA25683.1,L06161.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIc
3002397,OXY-2-2,OXY-2-2,AAL79541.1,AF473577.1,OXY beta-lactamase,cephalosporin;monobactam;penam,antibiotic inactivation,OXY-2-2
3002188,MOX-5,MOX-5,ACS44783.1,GQ152600.1,MOX beta-lactamase,cephalosporin;cephamycin;penam,antibiotic inactivation,MOX-5
3000904,TEM-34,TEM-34,AGE11905.1,KC292503.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-34
3001617,OXA-69,OXA-69,CAM86994.1,CU459141.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-69
3000879,TEM-7,TEM-7,AAO33760.1,AF527798.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-7
3001082,SHV-24,SHV-24,BAA84973.1,AB023477.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-24
3002762,QnrB47,QnrB47,AFU25658.1,JX440358.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB47
3001502,OXA-256,OXA-256,CCE94500.1,HE616889.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-256
3002795,QnrS6,QnrS6,AEG74318.1,HQ631376.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrS6
3001518,OXA-330,OXA-330,AGW16412.1,KF203104.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-330
3002053,CMY-42,CMY-42,ADM21467.1,HM146927.1,CMY beta-lactamase,cephalosporin;cephamycin,antibiotic inactivation,CMY-42
3002546,AAC(6')-Ib,AAC(6')-Ib,AFJ11384.1,JQ808129.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib
3002083,CMY-70,CMY-70,AFU25635.1,JX440350.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-70
3002350,GES-21,GES-21,AFK80745.1,JQ772478.1,GES beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,GES-21
3001099,SHV-41,SHV-41,AAN04883.1,AF535129.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-41
3001577,OXA-391,OXA-391,AHN53381.1,KJ427797.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-391
3000996,TEM-132,TEM-132,AAR84298.1,AY491682.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-132
3002620,aadA23,aadA23,CAH10847.1,AJ809407.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA23
3002360,NDM-10,NDM-10,AGT37351.1,KF361506.1,NDM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,NDM-10
3002778,QnrB66,QnrB66,AGL43627.1,KC580655.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB66
3001100,SHV-42,SHV-42,AAN04884.1,AF535130.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-42
3001429,OXA-35,OXA-35,AAK49460.1,AF315786.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-35
3001076,SHV-18,SHV-18,AAF64386.1,AF132290.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-18
3003026,fusH,fusH,CAA90432.1,Z50108.1,fusidic acid inactivation enzyme,fusidane antibiotic,antibiotic inactivation,fusH
3001133,SHV-79,SHV-79,CAJ47134.2,AM176554.2,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-79
3000916,TEM-47,TEM-47,CAA71322.1,Y10279.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-47
3000887,TEM-16,TEM-16,CAA46346.1,X65254.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-16
3002307,VIM-37,VIM-37,AGC50807.1,JX982636.1,VIM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,VIM-37
3001849,ACT-29,ACT-29,AIT76085.1,KM087832.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-29
3002157,FOX-3,FOX-3,CAA71947.1,Y11068.1,FOX beta-lactamase,cephalosporin;cephamycin,antibiotic inactivation,FOX-3
3002366,PER-4,PER-4,ACE77058.1,EU748544.1,PER beta-lactamase,carbapenem;cephalosporin;monobactam;penam;penem,antibiotic inactivation,PER-4
3000845,GIM-1,GIM-1,CAF05908.1,AJ620678.1,GIM beta-lactamase,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem,antibiotic inactivation,GIM-1
3002233,IMP-42,IMP-42,BAM62793.1,AB753456.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-42
3000965,TEM-102,TEM-102,AAK82652.1,AY040093.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-102
3000979,TEM-116,TEM-116,AAB39956.1,U36911.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-116
3002066,CMY-55,CMY-55,ADK55605.1,HM544040.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-55
3000508,gadX,gadX,BAE77778.1,AP009048.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam,antibiotic efflux,gadX
3001904,CTX-M-42,CTX-M-42,AAY84742.1,DQ061159.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-42
3001154,SHV-105,SHV-105,ACI22621.1,FJ194944.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-105
3002092,CMY-79,CMY-79,AFK73446.1,JQ733576.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-79
3002067,CMY-56,CMY-56,ADT91162.1,HQ322613.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-56
3003149,OXA-426,OXA-426,AJA32744.1,KM588354.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-426
3002059,CMY-48,CMY-48,ADP02979.1,HM569226.2,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-48
3002753,QnrB38,QnrB38,AEL00461.1,JN173060.2,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB38
3000972,TEM-109,TEM-109,AAT46413.1,AY628175.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-109
3003203,TLA-2,TLA-2,CAG27800.1,AJ698325.1,TLA beta-lactamase,cephalosporin;fluoroquinolone antibiotic;monobactam,antibiotic inactivation,TLA-2
3001071,SHV-12,SHV-12,AHN60527.1,KF976405.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-12
3001773,OXA-61,OXA-61,AAT01092.1,AY587956.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-61
3002243,CARB-4,CARB-4,AAC09012.1,U14749.1,CARB beta-lactamase,penam,antibiotic inactivation,CARB-4
3002681,catB9,catB9,AAL68645.1,AF462019.1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB9
3000912,TEM-43,TEM-43,AAC32889.2,U95363.2,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-43
3002507,PDC-8,PDC-8,ACQ82813.1,FJ666071.1,PDC beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,PDC-8
3000326,ErmE,ErmE,CAB60001.1,X51891.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,ErmE
3002565,AAC(6')-Iu,AAC(6')-Iu,AAD03493.1,AF031329.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iu
3002375,VEB-5,VEB-5,ABN80430.1,EF420108.1,VEB beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,VEB-5
3003012,dfrA13,dfrA13,CAA90683.1,Z50802.3,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrA13
3000954,TEM-87,TEM-87,AAG44570.1,AF250872.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-87
3002733,QnrB18,QnrB18,CAP45903.1,AM919399.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB18
3002488,LRA-9,LRA-9,ACH58989.1,EU408350.1,subclass B3 LRA beta-lactamase,cephalosporin;penam,antibiotic inactivation,LRA-9
3002282,VIM-12,VIM-12,AAZ73123.1,DQ143913.1,VIM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,VIM-12
3002604,aadA4,aadA4,AAN34365.1,AY138986.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA4
3000796,mdtF,mdtF,AAC76539.1,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam,antibiotic efflux,mdtF
3002304,VIM-34,VIM-34,AFN88953.1,JX013656.1,VIM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,VIM-34
3001119,SHV-64,SHV-64,ABA06586.1,DQ174304.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-64
3002263,IND-7,IND-7,BAJ05825.1,AB529520.1,IND beta-lactamase,carbapenem,antibiotic inactivation,IND-7
3001364,SHV-182,SHV-182,AJO16042.1,KP050489.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-182
3001045,TEM-183,TEM-183,ADR71220.1,HQ529916.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-183
3002815,clbB,clbB,BAH45481.1,AP008955.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbB
3002828,srmB,srmB,CAA45050.1,X63451.1,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic,antibiotic target protection,srmB
3000198,FosX,FosX,CWV56762.1,FFFO01000009.1,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation,FosX
3001972,CTX-M-112,CTX-M-112,AEM44652.1,JF274246.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-112
3001912,CTX-M-50,CTX-M-50,AAV97955.1,AY847146.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-50
3001057,TEM-198,TEM-198,BAL68178.1,AB700703.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-198
3002853,arr-8,arr-8,AGC29882.1,KC199968.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-8
3002883,rgt1438,rgt1438,AFO53532.1,JX028276.1,rifampin glycosyltransferase,rifamycin antibiotic,antibiotic inactivation,rgt1438
3002383,SME-5,SME-5,AHV85514.1,KJ188748.1,SME beta-lactamase,carbapenem,antibiotic inactivation,SME-5
3002020,CMY-9,CMY-9,BAB72158.1,AB061794.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-9
3002634,APH(2'')-Ie,APH(2'')-Ie,AAX38178.1,AY939911.1,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,APH(2'')-Ie
3002724,QnrB10,QnrB10,ABG56269.1,DQ631414.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrB10
3002595,AAC(6')-IIb,AAC(6')-IIb,AAA25680.1,L06163.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIb
3003103,cphA7,cphA7,AAP69915.1,AY227053.1,CphA beta-lactamase,carbapenem,antibiotic inactivation,cphA7
3002203,IMP-12,IMP-12,CAD12765.1,AJ420864.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-12
3001692,OXA-229,OXA-229,AFM55000.1,JQ422052.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-229
3001646,OXA-98,OXA-98,CAK50801.1,AM279652.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-98
3001422,OXA-27,OXA-27,AAG35609.2,AF201828.2,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-27
3001144,SHV-92,SHV-92,ABH04327.1,DQ836922.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-92
3002612,aadA12,aadA12,ACJ47200.1,FJ381668.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA12
3002676,catB3,catB3,AFQ93498.1,JX101693.1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,catB3
3002432,OKP-A-15,OKP-A-15,ACN65419.1,FJ755841.1,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation,OKP-A-15
3000830,cpxA,cpxA,BAB38260.1,BA000007.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,cpxA
3000777,adeF,adeF,CAJ77856.1,CT025801.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;tetracycline antibiotic,antibiotic efflux,adeF
3000815,mgrA,mgrA,BAB41874.1,BA000018.3,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penam;peptide antibiotic;tetracycline antibiotic,antibiotic efflux,mgrA
3001055,TEM-195,TEM-195,AFC75525.1,JN935137.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-195
3002574,AAC(6')-Iaf,AAC(6')-Iaf,BAH66386.1,AB462903.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaf
3003017,dfrA21,dfrA21,CAP69659.1,AM932669.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrA21
3001300,myrA,myrA,BAA03674.1,D16099.1,non-erm 23S ribosomal RNA methyltransferase (G748),lincosamide antibiotic;macrolide antibiotic,antibiotic target alteration,myrA
3002830,vgaALC,vgaALC,ABH10964.1,DQ823382.1,vga-type ABC-F protein,lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target protection,vgaALC
3001677,OXA-236,OXA-236,AFH36332.1,JQ820242.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-236
3001112,SHV-56,SHV-56,ACB73258.1,EU586041.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-56
3002318,KPC-8,KPC-8,ACI95258.1,FJ234412.1,KPC beta-lactamase,carbapenem;cephalosporin;monobactam;penam,antibiotic inactivation,KPC-8
3001562,OXA-376,OXA-376,AHL30276.1,KF986257.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-376
3002912,vanN,vanN,AEP40500.1,JF802084.1,Van ligase;glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,vanN
3002299,VIM-29,VIM-29,AFP99885.1,JX311308.1,VIM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,VIM-29
3000572,tet(42),tet(42),ACD35503.1,EU523697.1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,tet(42)
3003196,tet(45),tet(45),AEM62948.1,JF837330.1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,tet(45)
3000173,tet(E),tet(E),AAA71915.1,L06940.1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,tet(E)
3003060,tsnR,tsnR,AAA99931.1,L39157.1,non-erm 23S ribosomal RNA methyltransferase (A1067),peptide antibiotic,antibiotic target alteration,tsnR
3002050,CMY-39,CMY-39,BAF95726.1,AB372224.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-39
3002287,VIM-17,VIM-17,ABW90721.1,EU118148.2,VIM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,VIM-17
3003209,fosA5,fosA5,AJE60855.1,KP143090.1,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation,fosA5
3002690,Streptomyces lividans cmlR,Streptomyces lividans cmlR,CAA42594.1,X59968.1,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux,Sliv_cmlR
3002921,vanR gene in vanB cluster,vanR gene in vanB cluster,AAB05622.1,U35369.1,glycopeptide resistance gene cluster;vanR,glycopeptide antibiotic,antibiotic target alteration,vanR_in_vanB_cl
3002224,IMP-33,IMP-33,AEU17778.1,JN848782.2,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-33
3002210,IMP-19,IMP-19,ABM67078.1,EF118171.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-19
3000944,TEM-78,TEM-78,AAF05612.1,AF190693.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-78
3002849,arr-4,arr-4,ABV26705.1,EF660562.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-4
3003002,CfxA2,CfxA2,AAD23513.1,AF118110.1,CfxA beta-lactamase,cephamycin,antibiotic inactivation,CfxA2
3001886,CTX-M-24,CTX-M-24,AAN38836.1,AY143430.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-24
3002036,CMY-25,CMY-25,ACA30420.1,EU515249.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-25
3003659,IMP-51,IMP-51,BAQ56016.1,LC031883.1,IMP beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,IMP-51
3002711,QnrA5,QnrA5,AAZ04784.1,DQ058663.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrA5
3002150,DHA-19,DHA-19,AIT76102.1,KM087849.1,DHA beta-lactamase,cephalosporin;cephamycin,antibiotic inactivation,DHA-19
3002343,GES-14,GES-14,ADC91899.1,GU207844.1,GES beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,GES-14
3000839,arlS,arlS,ABD30512.1,CP000253.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,arlS
3000549,adeS,adeS,ADM92606.1,HM440348.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline;tetracycline antibiotic,antibiotic efflux,adeS
3002514,OCH-1,OCH-1,CAC04522.1,AJ401618.1,OCH beta-lactamase,cephalosporin;cephamycin;monobactam;penam;penem,antibiotic inactivation,OCH-1
3001778,OXA-232,OXA-232,AGD91915.1,JX423831.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-232
3001407,OXA-12,OXA-12,AAA83417.1,U10251.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-12
3001535,OXA-348,OXA-348,AGW83446.1,KF297577.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-348
3001141,SHV-89,SHV-89,ABA60809.1,DQ193536.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-89
3001881,CTX-M-19,CTX-M-19,AAK55534.1,AF325134.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-19
3001480,OXA-195,OXA-195,AEB98921.1,HQ425493.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-195
3001814,OXA-199,OXA-199,AFC95894.1,JN704570.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-199
3001900,CTX-M-38,CTX-M-38,AAV70602.1,AY822595.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-38
3000983,TEM-121,TEM-121,AAQ01671.1,AY271267.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-121
3001116,SHV-61,SHV-61,CAI30650.2,AJ866284.2,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-61
3001919,CTX-M-58,CTX-M-58,ABM97538.1,EF210159.1,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation,CTX-M-58
