ARO,Cluster#,ARG Name,ARG Family,Drug class
3006339,1,ADC-167,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006340,1,ADC-168,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006341,1,ADC-169,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006342,1,ADC-170,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006343,1,ADC-171,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006344,1,ADC-172,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006367,1,ADC-198,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006368,1,ADC-199,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006369,1,ADC-200,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006370,1,ADC-201,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006280,1,ADC-100,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006281,1,ADC-101,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006282,1,ADC-102,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006283,1,ADC-103,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006284,1,ADC-104,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006285,1,ADC-105,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006286,1,ADC-106,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006287,1,ADC-107,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006288,1,ADC-109,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006289,1,ADC-110,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006290,1,ADC-112,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006291,1,ADC-113,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006292,1,ADC-114,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006293,1,ADC-115,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006294,1,ADC-116,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006295,1,ADC-117,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006296,1,ADC-119,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006298,1,ADC-121,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006299,1,ADC-122,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006300,1,ADC-123,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006301,1,ADC-125,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006307,1,ADC-132,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006309,1,ADC-134,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006310,1,ADC-135,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006312,1,ADC-137,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006313,1,ADC-138,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006314,1,ADC-139,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006315,1,ADC-140,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006316,1,ADC-141,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006317,1,ADC-143,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006318,1,ADC-144,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006319,1,ADC-145,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006320,1,ADC-146,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006321,1,ADC-147,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006323,1,ADC-149,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006324,1,ADC-150,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006325,1,ADC-151,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006326,1,ADC-152,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006327,1,ADC-153,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006328,1,ADC-154,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006329,1,ADC-155,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006345,1,ADC-173,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006346,1,ADC-174,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006347,1,ADC-175,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006348,1,ADC-176,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006349,1,ADC-177,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006350,1,ADC-178,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006351,1,ADC-179,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006352,1,ADC-180,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006353,1,ADC-184,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006354,1,ADC-185,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006355,1,ADC-186,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006356,1,ADC-187,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006371,1,ADC-202,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006372,1,ADC-203,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006373,1,ADC-204,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006375,1,ADC-206,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006376,1,ADC-207,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006377,1,ADC-208,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006378,1,ADC-209,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006379,1,ADC-210,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006380,1,ADC-211,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006381,1,ADC-212,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006382,1,ADC-213,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006383,1,ADC-214,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006384,1,ADC-215,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006385,1,ADC-216,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006386,1,ADC-217,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006387,1,ADC-218,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006388,1,ADC-219,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006389,1,ADC-220,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006390,1,ADC-221,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006391,1,ADC-222,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006392,1,ADC-223,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006393,1,ADC-224,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006394,1,ADC-225,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006395,1,ADC-226,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006396,1,ADC-227,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006397,1,ADC-228,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006398,1,ADC-229,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006399,1,ADC-230,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006400,1,ADC-231,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006401,1,ADC-232,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006402,1,ADC-233,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006403,1,ADC-234,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006404,1,ADC-235,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006405,1,ADC-236,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006406,1,ADC-237,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006407,1,ADC-238,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006409,1,ADC-24,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006410,1,ADC-240,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006411,1,ADC-241,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006412,1,ADC-242,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006413,1,ADC-243,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006414,1,ADC-244,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006415,1,ADC-245,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006416,1,ADC-246,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006417,1,ADC-247,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006418,1,ADC-248,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006419,1,ADC-249,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006420,1,ADC-250,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006421,1,ADC-251,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006422,1,ADC-252,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006423,1,ADC-253,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006424,1,ADC-254,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006426,1,ADC-256,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006427,1,ADC-29,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006428,1,ADC-32,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006429,1,ADC-33,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006430,1,ADC-38,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006431,1,ADC-51,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006432,1,ADC-52,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006433,1,ADC-53,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006434,1,ADC-54,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006435,1,ADC-57,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006436,1,ADC-63,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006437,1,ADC-65,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006438,1,ADC-66,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006439,1,ADC-70,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006440,1,ADC-83,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006441,1,ADC-84,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006442,1,ADC-85,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006443,1,ADC-86,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006444,1,ADC-87,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006445,1,ADC-88,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006446,1,ADC-89,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006447,1,ADC-90,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006448,1,ADC-91,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006449,1,ADC-92,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006450,1,ADC-93,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006451,1,ADC-94,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006452,1,ADC-95,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006453,1,ADC-96,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006454,1,ADC-97,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006455,1,ADC-98,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3006456,1,ADC-99,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin
3003796,1,Abau_ampC_BLA,ampC-type beta-lactamase,cephalosporin;penam
3006863,2,AAK-1,AAK beta-lactamase,carbapenem
3002477,2,LEN-14,LEN beta-lactamase,penam;penem
3002459,2,LEN-9,LEN beta-lactamase,penam;penem
3002468,2,LEN-21,LEN beta-lactamase,penam;penem
3002467,2,LEN-20,LEN beta-lactamase,penam;penem
3002470,2,LEN-23,LEN beta-lactamase,penam;penem
3002458,2,LEN-8,LEN beta-lactamase,penam;penem
3002464,2,LEN-16,LEN beta-lactamase,penam;penem
3002454,2,LEN-1,LEN beta-lactamase,penam;penem
3002460,2,LEN-10,LEN beta-lactamase,penam;penem
3002476,2,LEN-6,LEN beta-lactamase,penam;penem
3002463,2,LEN-13,LEN beta-lactamase,penam;penem
3002455,2,LEN-2,LEN beta-lactamase,penam;penem
3002462,2,LEN-12,LEN beta-lactamase,penam;penem
3002475,2,LEN-3,LEN beta-lactamase,penam;penem
3002456,2,LEN-5,LEN beta-lactamase,penam;penem
3002466,2,LEN-19,LEN beta-lactamase,penam;penem
3002469,2,LEN-22,LEN beta-lactamase,penam;penem
3002472,2,LEN-4,LEN beta-lactamase,penam;penem
3002465,2,LEN-18,LEN beta-lactamase,penam;penem
3002478,2,LEN-15,LEN beta-lactamase,penam;penem
3002457,2,LEN-7,LEN beta-lactamase,penam;penem
3002471,2,LEN-24,LEN beta-lactamase,penam;penem
3002461,2,LEN-11,LEN beta-lactamase,penam;penem
3004844,2,LEN-41,LEN beta-lactamase,penam;penem
3002474,2,LEN-26,LEN beta-lactamase,penam;penem
3004845,2,LEN-42,LEN beta-lactamase,penam;penem
3004846,2,LEN-43,LEN beta-lactamase,penam;penem
3004847,2,LEN-51,LEN beta-lactamase,penam;penem
3004848,2,LEN-55,LEN beta-lactamase,penam;penem
3004849,2,LEN-58,LEN beta-lactamase,penam;penem
3002473,2,LEN-17,LEN beta-lactamase,penam;penem
3004829,2,LEN-37,LEN beta-lactamase,penam;penem
3004840,2,LEN-34,LEN beta-lactamase,penam;penem
3002479,2,LEN-25,LEN beta-lactamase,penam;penem
3004827,2,LEN-35,LEN beta-lactamase,penam;penem
3004838,2,LEN-30,LEN beta-lactamase,penam;penem
3004828,2,LEN-36,LEN beta-lactamase,penam;penem
3004839,2,LEN-32,LEN beta-lactamase,penam;penem
3004841,2,LEN-38,LEN beta-lactamase,penam;penem
3004842,2,LEN-39,LEN beta-lactamase,penam;penem
3004843,2,LEN-40,LEN beta-lactamase,penam;penem
3006932,2,LEN-27,LEN beta-lactamase,penam;penem
3006933,2,LEN-28,LEN beta-lactamase,penam;penem
3006934,2,LEN-31,LEN beta-lactamase,penam;penem
3006956,2,OHIO-1,OHIO beta-lactamase,cephalosporin
3002432,2,OKP-A-15,OKP beta-lactamase,cephalosporin;penam
3002429,2,OKP-A-12,OKP beta-lactamase,cephalosporin;penam
3002436,2,OKP-B-3,OKP beta-lactamase,cephalosporin;penam
3002442,2,OKP-B-9,OKP beta-lactamase,cephalosporin;penam
3002435,2,OKP-B-2,OKP beta-lactamase,cephalosporin;penam
3002426,2,OKP-A-9,OKP beta-lactamase,cephalosporin;penam
3002443,2,OKP-B-10,OKP beta-lactamase,cephalosporin;penam
3002441,2,OKP-B-8,OKP beta-lactamase,cephalosporin;penam
3002439,2,OKP-B-6,OKP beta-lactamase,cephalosporin;penam
3002424,2,OKP-A-7,OKP beta-lactamase,cephalosporin;penam
3002420,2,OKP-A-3,OKP beta-lactamase,cephalosporin;penam
3002434,2,OKP-B-1,OKP beta-lactamase,cephalosporin;penam
3002446,2,OKP-B-13,OKP beta-lactamase,cephalosporin;penam
3002419,2,OKP-A-2,OKP beta-lactamase,cephalosporin;penam
3002428,2,OKP-A-11,OKP beta-lactamase,cephalosporin;penam
3002431,2,OKP-A-14,OKP beta-lactamase,cephalosporin;penam
3002430,2,OKP-A-13,OKP beta-lactamase,cephalosporin;penam
3002451,2,OKP-B-18,OKP beta-lactamase,cephalosporin;penam
3002425,2,OKP-A-8,OKP beta-lactamase,cephalosporin;penam
3002452,2,OKP-B-19,OKP beta-lactamase,cephalosporin;penam
3002438,2,OKP-B-5,OKP beta-lactamase,cephalosporin;penam
3002444,2,OKP-B-11,OKP beta-lactamase,cephalosporin;penam
3002421,2,OKP-A-4,OKP beta-lactamase,cephalosporin;penam
3002440,2,OKP-B-7,OKP beta-lactamase,cephalosporin;penam
3002445,2,OKP-B-12,OKP beta-lactamase,cephalosporin;penam
3002427,2,OKP-A-10,OKP beta-lactamase,cephalosporin;penam
3002453,2,OKP-B-20,OKP beta-lactamase,cephalosporin;penam
3002437,2,OKP-B-4,OKP beta-lactamase,cephalosporin;penam
3002450,2,OKP-B-17,OKP beta-lactamase,cephalosporin;penam
3002433,2,OKP-A-16,OKP beta-lactamase,cephalosporin;penam
3002422,2,OKP-A-5,OKP beta-lactamase,cephalosporin;penam
3002423,2,OKP-A-6,OKP beta-lactamase,cephalosporin;penam
3002418,2,OKP-A-1,OKP beta-lactamase,cephalosporin;penam
3006141,2,OKP-A-17,OKP beta-lactamase,cephalosporin;penam
3006142,2,OKP-B-16,OKP beta-lactamase,cephalosporin;penam
3006143,2,OKP-B-21,OKP beta-lactamase,cephalosporin;penam
3006144,2,OKP-B-22,OKP beta-lactamase,cephalosporin;penam
3006145,2,OKP-B-23,OKP beta-lactamase,cephalosporin;penam
3006146,2,OKP-B-24,OKP beta-lactamase,cephalosporin;penam
3006147,2,OKP-B-34,OKP beta-lactamase,cephalosporin;penam
3006148,2,OKP-B-36,OKP beta-lactamase,cephalosporin;penam
3006149,2,OKP-B-40,OKP beta-lactamase,cephalosporin;penam
3006150,2,OKP-B-41,OKP beta-lactamase,cephalosporin;penam
3006151,2,OKP-B-45,OKP beta-lactamase,cephalosporin;penam
3006152,2,OKP-C-1,OKP beta-lactamase,cephalosporin;penam
3006153,2,OKP-D-1,OKP beta-lactamase,cephalosporin;penam
3001109,2,SHV-52,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001082,2,SHV-24,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001099,2,SHV-41,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001100,2,SHV-42,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001076,2,SHV-18,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001133,2,SHV-79,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001154,2,SHV-105,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001071,2,SHV-12,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001119,2,SHV-64,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001364,2,SHV-182,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001144,2,SHV-92,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001112,2,SHV-56,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001141,2,SHV-89,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001116,2,SHV-61,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001150,2,SHV-101,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001093,2,SHV-35,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001168,2,SHV-121,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001181,2,SHV-137,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001191,2,SHV-152,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001347,2,SHV-164,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001175,2,SHV-128,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001201,2,SHV-162,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001350,2,SHV-180,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001090,2,SHV-32,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001132,2,SHV-78,SHV beta-lactamase,carbapenem;cephalosporin;penam
3003155,2,SHV-188,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001065,2,SHV-6,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001074,2,SHV-15,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001067,2,SHV-8,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001079,2,SHV-21,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001094,2,SHV-36,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001123,2,SHV-69,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001137,2,SHV-83,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001122,2,SHV-67,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001177,2,SHV-133,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001106,2,SHV-49,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001195,2,SHV-156,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001096,2,SHV-38,SHV beta-lactamase,carbapenem;cephalosporin;penam
3003152,2,SHV-185,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001068,2,SHV-9,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001136,2,SHV-82,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001070,2,SHV-11,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001338,2,SHV-100,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001129,2,SHV-75,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001192,2,SHV-153,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001088,2,SHV-30,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001184,2,SHV-142,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001157,2,SHV-108,SHV beta-lactamase,carbapenem;cephalosporin;penam
3001095,2,SHV-37,SHV beta-lactamase,carbapenem;cephalosporin;penam
